INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,TUITION_DIFF
Alabama A & M University,Normal,AL,35762,1,0.9027,929,9857,18236,4824,5,8379
University of Alabama at Birmingham,Birmingham,AL,35294-0110,1,0.9181,1195,8328,19032,12866,5,10704
University of Alabama in Huntsville,Huntsville,AL,35899,1,0.8123,1322,10280,21480,6917,5,11200
Alabama State University,Montgomery,AL,36104-0271,1,0.9787,935,11068,19396,4189,5,8328
The University of Alabama,Tuscaloosa,AL,35487-0166,1,0.533,1278,10780,28100,32387,5,17320
Auburn University at Montgomery,Montgomery,AL,36117-3596,1,0.8254,1083,8020,17140,4211,5,9120
Auburn University,Auburn,AL,36849,1,0.8393,1282,10968,29640,23391,5,18672
Birmingham Southern College,Birmingham,AL,35254,2,0.6186,1231,35804,35804,1283,5,0
Faulkner University,Montgomery,AL,36109-3390,2,0.5101,1031,20970,20970,2272,5,0
Huntingdon College,Montgomery,AL,36106-2148,2,0.5598,1085,26400,26400,1099,5,0
Heritage Christian University,Florence,AL,35630-9977,2,1,1030,11232,11232,59,5,0
Jacksonville State University,Jacksonville,AL,36265,1,0.5402,1121,8166,15582,6622,5,7416
Judson College,Marion,AL,36756,2,0.507,1085,17896,17896,315,5,0
University of West Alabama,Livingston,AL,35470,1,0.2821,1041,9204,16818,2106,5,7614
Marion Military Institute,Marion,AL,36756-3207,1,0.5587,1138,9418,15418,444,5,6000
University of Mobile,Mobile,AL,36613-2842,2,0.4702,1113,22210,22210,1276,5,0
University of Montevallo,Montevallo,AL,35115-6000,1,0.6445,1143,12400,25030,2329,5,12630
University of North Alabama,Florence,AL,35632-0001,1,0.7022,1104,8480,15128,5771,5,6648
Oakwood University,Huntsville,AL,35896,2,0.4707,1005,16720,16720,1623,5,0
Samford University,Birmingham,AL,35229-2240,2,0.8319,1230,30490,30490,3364,5,0
University of South Alabama,Mobile,AL,36688-0002,1,0.8208,1142,7812,15324,10712,5,7512
Spring Hill College,Mobile,AL,36608-1791,2,0.4568,1156,37584,37584,1375,5,0
Troy University,Troy,AL,36082-0001,1,0.8812,1085,8692,16276,13634,5,7584
Tuskegee University,Tuskegee,AL,36088-1920,2,0.5032,1036,22170,22170,2833,5,0
University of Alaska Fairbanks,Fairbanks,AK,99775,1,0.767,1094,6262,19183,4910,8,12921
Arizona State University-Tempe,Tempe,AZ,85287,1,0.8415,1235,10792,27372,42181,6,16580
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,2,0.7652,1245,34662,34662,2598,6,0
Prescott College,Prescott,AZ,86301,2,0.9526,1132,30501,30501,350,6,0
Arizona Christian University,Phoenix,AZ,85032-7097,2,0.6444,956,24958,24958,696,6,0
University of Arkansas at Little Rock,Little Rock,AR,72204,1,0.7463,1105,8998,21208,6677,5,12210
Lyon College,Batesville,AR,72501,2,0.6418,1202,27340,27340,664,5,0
University of Arkansas,Fayetteville,AR,72701,1,0.6596,1239,9062,24308,22763,5,15246
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,1,0.4669,951,7408,13738,2510,5,6330
Arkansas State University-Main Campus,Jonesboro,AR,72401,1,0.6602,1165,8478,14778,8856,5,6300
Baptist Health College Little Rock,Little Rock,AR,72210-2827,2,0.6875,1125,9867,9867,676,5,0
University of Central Arkansas,Conway,AR,72035-0001,1,0.8995,1175,8524,15047,9034,5,6523
Central Baptist College,Conway,AR,72034,2,0.6755,1027,15750,15750,676,5,0
Harding University,Searcy,AR,72149-5615,2,0.7212,1203,19385,19385,4147,5,0
Henderson State University,Arkadelphia,AR,71999-0001,1,0.7968,1102,8530,10180,2829,5,1650
Hendrix College,Conway,AR,72032-3080,2,0.798,1295,44070,44070,1233,5,0
John Brown University,Siloam Springs,AR,72761,2,0.7579,1256,26144,26144,1606,5,0
Ouachita Baptist University,Arkadelphia,AR,71998-0001,2,0.7094,1186,25870,25870,1513,5,0
University of the Ozarks,Clarksville,AR,72830,2,0.8915,1047,23750,23750,745,5,0
Williams Baptist University,Walnut Ridge,AR,72476,2,0.6241,1030,17320,17320,452,5,0
Southern Arkansas University Main Campus,Magnolia,AR,71753,1,0.6945,1102,8346,12156,3153,5,3810
Azusa Pacific University,Azusa,CA,91702-7000,2,0.6012,1131,37506,37506,5560,8,0
Biola University,La Mirada,CA,90639-0001,2,0.7198,1186,38448,38448,4039,8,0
California Baptist University,Riverside,CA,92504-3297,2,0.7708,1092,32256,32256,7397,8,0
California Institute of Technology,Pasadena,CA,91125,2,0.0774,1558,49908,49908,961,8,0
California Lutheran University,Thousand Oaks,CA,91360-2787,2,0.7275,1158,41363,41363,2959,8,0
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,1,0.3461,1317,9432,21312,21303,8,11880
California State University-San Bernardino,San Bernardino,CA,92407-2397,1,0.5713,991,6885,18765,18088,8,11880
California State Polytechnic University-Pomona,Pomona,CA,91768,1,0.5507,1129,7339,19219,24205,8,11880
California State University-Chico,Chico,CA,95929-0150,1,0.6778,1088,7348,19228,16546,8,11880
California State University-Fresno,Fresno,CA,93740,1,0.5941,1004,6585,18465,21877,8,11880
California State University-Fullerton,Fullerton,CA,92831-3599,1,0.4572,1096,6850,18730,35045,8,11880
California State University-Long Beach,Long Beach,CA,90840-0115,1,0.2799,1130,6730,18610,31402,8,11880
California State University-Los Angeles,Los Angeles,CA,90032-8506,1,0.4645,968,6639,18519,24780,8,11880
California State University-Northridge,Northridge,CA,91330,1,0.5765,1014,6875,18755,35620,8,11880
California State University-Sacramento,Sacramento,CA,95819-2694,1,0.6776,1036,7204,19084,28410,8,11880
University of California-Berkeley,Berkeley,CA,94720,1,0.1711,1414,14170,42184,30574,8,28014
University of California-Davis,Davis,CA,95616-8678,1,0.4336,1286,14419,42433,30046,8,28014
University of California-Irvine,Irvine,CA,92697,1,0.3651,1291,13738,41752,29295,8,28014
University of California-Los Angeles,Los Angeles,CA,90095-1405,1,0.161,1387,13261,41275,30994,8,28014
University of California-Riverside,Riverside,CA,92521,1,0.5723,1215,13917,41931,20044,8,28014
University of California-San Diego,La Jolla,CA,92093,1,0.3399,1343,14018,42032,28577,8,28014
University of California-Santa Barbara,Santa Barbara,CA,93106,1,0.3281,1346,14451,42465,22181,8,28014
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,1,0.5094,1287,14020,42034,17577,8,28014
Chapman University,Orange,CA,92866,2,0.5724,1293,50594,50594,6740,8,0
Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,2,0.9016,1142,13972,13972,138,8,0
Concordia University-Irvine,Irvine,CA,92612-3203,2,0.5845,1121,34100,34100,1821,8,0
San Diego Christian College,Santee,CA,92071,2,0.6235,945,30438,30438,657,8,0
Claremont McKenna College,Claremont,CA,91711-6400,2,0.1036,1452,52825,52825,1334,8,0
Dominican University of California,San Rafael,CA,94901-2298,2,0.8843,1127,44690,44690,1284,8,0
Fresno Pacific University,Fresno,CA,93702-4709,2,0.7239,1050,30458,30458,2791,8,0
Harvey Mudd College,Claremont,CA,91711,2,0.1542,1527,54636,54636,844,8,0
Holy Names University,Oakland,CA,94619-1699,2,0.5256,857,38188,38188,589,8,0
Humboldt State University,Arcata,CA,95521-8299,1,0.8183,1062,7493,19373,7846,8,11880
Life Pacific College,San Dimas,CA,91773-3298,2,0.9669,1002,14884,14884,489,8,0
University of La Verne,La Verne,CA,91750-4401,2,0.4754,1106,41450,41450,5120,8,0
La Sierra University,Riverside,CA,92505-8247,2,0.4821,994,32130,32130,1929,8,0
The Master's University and Seminary,Santa Clarita,CA,91321-1200,2,0.658,1116,33020,33020,1171,8,0
Loyola Marymount University,Los Angeles,CA,90045-2659,2,0.5248,1307,46386,46386,6257,8,0
Menlo College,Atherton,CA,94027-4301,2,0.4299,1086,41350,41350,726,8,0
Mount Saint Mary's University,Los Angeles,CA,90049-1599,2,0.8121,1013,39608,39608,2575,8,0
Notre Dame de Namur University,Belmont,CA,94002-1908,2,0.9362,995,34196,34196,924,8,0
Occidental College,Los Angeles,CA,90041-3392,2,0.4179,1370,52838,52838,1958,8,0
Hope International University,Fullerton,CA,92831-3199,2,0.2837,1019,31800,31800,727,8,0
Pacific Union College,Angwin,CA,94508-9707,2,0.5021,1055,29469,29469,1181,8,0
University of the Pacific,Stockton,CA,95211-0197,2,0.6487,1220,46346,46346,3542,8,0
Pepperdine University,Malibu,CA,90263,2,0.3985,1319,51992,51992,3594,8,0
Point Loma Nazarene University,San Diego,CA,92106-2899,2,0.7629,1211,34600,34600,3092,8,0
Pomona College,Claremont,CA,91711-6319,2,0.0836,1461,51075,51075,1567,8,0
University of Redlands,Redlands,CA,92373-0999,2,0.7496,1182,48072,48072,3042,8,0
San Diego State University,San Diego,CA,92182-0001,1,0.3542,1206,7460,19340,29781,8,11880
University of San Diego,San Diego,CA,92110-2492,2,0.4979,1302,47708,47708,5677,8,0
San Francisco State University,San Francisco,CA,94132,1,0.7046,1054,7254,19134,25966,8,11880
University of San Francisco,San Francisco,CA,94117-1080,2,0.6563,1203,46250,46250,6796,8,0
William Jessup University,Rocklin,CA,95765-3707,2,0.6605,1129,30550,30550,1188,8,0
San Jose State University,San Jose,CA,95192-0001,1,0.6688,1110,7721,19601,27591,8,11880
Santa Clara University,Santa Clara,CA,95053,2,0.5356,1378,49858,49858,5481,8,0
Scripps College,Claremont,CA,91711-3905,2,0.3337,1405,52966,52966,1059,8,0
Simpson University,Redding,CA,96003-8606,2,0.5561,1077,27700,27700,708,8,0
Saint Mary's College of California,Moraga,CA,94575,2,0.8162,1170,45686,45686,2762,8,0
Sonoma State University,Rohnert Park,CA,94928-3609,1,0.8203,1078,7724,19604,8633,8,11880
Vanguard University of Southern California,Costa Mesa,CA,92626,2,0.4668,1037,32430,32430,1824,8,0
University of Southern California,Los Angeles,CA,90089,2,0.1595,1437,54259,54259,18942,8,0
Thomas Aquinas College,Santa Paula,CA,93060,2,0.7188,1297,24500,24500,369,8,0
Westmont College,Santa Barbara,CA,93108-1089,2,0.8471,1262,44044,44044,1285,8,0
Whittier College,Whittier,CA,90601,2,0.7409,1138,46310,46310,1665,8,0
Woodbury University,Burbank,CA,91504-1052,2,0.6164,1076,38460,38460,1023,8,0
Adams State University,Alamosa,CO,81101,1,0.9888,1005,9440,20456,1876,7,11016
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,80217-3364,1,0.6522,1179,9107,25259,11531,7,16152
University of Colorado Colorado Springs,Colorado Springs,CO,80918,1,0.9281,1162,8314,19498,10344,7,11184
University of Colorado Boulder,Boulder,CO,80309-0017,1,0.7984,1293,12086,36220,28565,7,24134
Colorado School of Mines,Golden,CO,80401,1,0.5572,1391,18386,37436,4751,7,19050
Colorado State University-Fort Collins,Fort Collins,CO,80523-0100,1,0.8262,1212,11395,28903,23804,7,17508
University of Denver,Denver,CO,80208,2,0.5805,1294,48669,48669,5753,7,0
Fort Lewis College,Durango,CO,81301-3999,1,0.8321,1123,8609,18761,3150,7,10152
Colorado Mesa University,Grand Junction,CO,81501-3122,1,0.8167,1066,8374,20330,8494,7,11956
Metropolitan State University of Denver,Denver,CO,80217-3362,1,0.6427,1010,7352,20149,18968,7,12797
University of Northern Colorado,Greeley,CO,80639,1,0.8908,1107,9546,21132,9104,7,11586
Regis University,Denver,CO,80221-1099,2,0.5992,1150,35610,35610,4016,7,0
Colorado State University-Pueblo,Pueblo,CO,81001-4901,1,0.9534,1043,10090,25547,3744,7,15457
United States Air Force Academy,USAF Academy,CO,80840-5002,1,0.1192,1334,0,0,4276,0,0
Western State Colorado University,Gunnison,CO,81231,1,0.8598,1120,9802,21274,1899,7,11472
Albertus Magnus College,New Haven,CT,06511-1189,2,0.6388,930,31140,31140,1122,1,0
University of Bridgeport,Bridgeport,CT,06604-5620,2,0.5389,969,32250,32250,3129,1,0
Central Connecticut State University,New Britain,CT,6050,1,0.6676,1071,10225,22914,9317,1,12689
University of Connecticut,Storrs,CT,6269,1,0.4784,1313,14880,36948,18930,1,22068
University of Hartford,West Hartford,CT,06117-1599,2,0.8089,1140,38910,38910,4835,1,0
University of New Haven,West Haven,CT,06516-1916,2,0.8776,1124,38170,38170,5147,1,0
Quinnipiac University,Hamden,CT,6518,2,0.7388,1184,46780,46780,7249,1,0
University of Saint Joseph,West Hartford,CT,6117,2,0.9029,1064,38033,38033,759,1,0
St Vincent's College,Bridgeport,CT,06606-4201,2,0.973,960,15563,15563,472,1,0
Southern Connecticut State University,New Haven,CT,06515-1355,1,0.6492,1028,10538,23226,7703,1,12688
Trinity College,Hartford,CT,06106-3100,2,0.3387,1370,54770,54770,2174,1,0
Yale University,New Haven,CT,6520,2,0.0693,1520,51400,51400,5742,1,0
Delaware State University,Dover,DE,19901,1,0.4518,918,7868,16904,3678,2,9036
University of Delaware,Newark,DE,19716,1,0.6289,1250,13160,33150,18948,2,19990
Wesley College,Dover,DE,19901-3875,2,0.6151,903,26406,26406,1342,2,0
American University,Washington,DC,20016-8001,2,0.294,1294,46615,46615,7433,2,0
Gallaudet University,Washington,DC,20002-3695,2,0.5901,916,16558,16558,1111,2,0
George Washington University,Washington,DC,20052,2,0.4098,1386,53518,53518,11718,2,0
Georgetown University,Washington,DC,20057-0001,2,0.1568,1451,52300,52300,7128,2,0
Howard University,Washington,DC,20059-0001,2,0.4142,1201,25697,25697,6276,2,0
The Baptist College of Florida,Graceville,FL,32440,2,0.6195,968,11100,11100,397,5,0
Barry University,Miami,FL,33161-6695,2,0.8507,970,29850,29850,3459,5,0
Johnson University Florida,Kissimmee,FL,34744,2,0.9278,978,14920,14920,180,5,0
University of Central Florida,Orlando,FL,32816,1,0.499,1249,6368,22467,56366,5,16099
Eckerd College,Saint Petersburg,FL,33711-4700,2,0.7273,1207,43044,43044,2018,5,0
Edward Waters College,Jacksonville,FL,32209,2,0.6045,885,13525,13525,946,5,0
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,32114-3900,2,0.7491,1204,34822,34822,5689,5,0
Florida Agricultural and Mechanical University,Tallahassee,FL,32307,1,0.4563,1044,5785,17725,7552,5,11940
Florida Atlantic University,Boca Raton,FL,33431-0991,1,0.6001,1149,4831,17276,23748,5,12445
Flagler College-St Augustine,Saint Augustine,FL,32084,2,0.5659,1093,18200,18200,2674,5,0
Florida College,Temple Terrace,FL,33617,2,0.7376,1000,17142,17142,505,5,0
AdventHealth University,Orlando,FL,32803,2,0.9685,1019,14400,14400,1316,5,0
Florida Institute of Technology,Melbourne,FL,32901-6975,2,0.6346,1243,41240,41240,3395,5,0
Florida International University,Miami,FL,33199,1,0.5407,1172,6556,18954,41834,5,12398
Florida Southern College,Lakeland,FL,33801-5698,2,0.5146,1218,34774,34774,2561,5,0
Florida State University,Tallahassee,FL,32306-1037,1,0.4919,1304,5656,18786,32614,5,13130
University of Florida,Gainesville,FL,32611,1,0.4201,1356,6381,28659,33655,5,22278
Jacksonville University,Jacksonville,FL,32211-3394,2,0.867,1147,35260,35260,2829,5,0
University of Miami,Coral Gables,FL,33146,2,0.357,1366,48484,48484,10613,5,0
University of North Florida,Jacksonville,FL,32224-7699,1,0.5871,1176,6394,20798,13962,5,14404
Nova Southeastern University,Fort Lauderdale,FL,33314-7796,2,0.5817,1201,29880,29930,4417,5,50
Palm Beach Atlantic University,West Palm Beach,FL,33401,2,0.9739,1115,29950,29950,2475,5,0
Saint Leo University,Saint Leo,FL,33574-6665,2,0.5849,1056,22220,22220,9404,5,0
University of South Florida-Main Campus,Tampa,FL,33620-9951,1,0.4536,1246,6410,17324,30918,5,10914
St. Thomas University,Miami Gardens,FL,33054-6459,2,0.4871,993,29730,29730,958,5,0
Southeastern University,Lakeland,FL,33801-6034,2,0.535,1063,25360,25360,4786,5,0
The University of Tampa,Tampa,FL,33606-1490,2,0.5326,1171,28426,28426,7956,5,0
Trinity Baptist College,Jacksonville,FL,32221,2,0.3447,933,11640,11640,335,5,0
Trinity College of Florida,Trinity,FL,34655-4401,2,0.918,922,16340,16340,188,5,0
Warner University,Lake Wales,FL,33859-8797,2,0.4148,946,21216,21216,981,5,0
Webber International University,Babson Park,FL,33827-0096,2,0.4923,986,25358,25358,625,5,0
The University of West Florida,Pensacola,FL,32514-5750,1,0.4958,1185,6360,19241,9602,5,12881
Abraham Baldwin Agricultural College,Tifton,GA,31793-2601,1,0.7021,1013,3503,10241,3185,5,6738
Andrew College,Cuthbert,GA,39840-5550,2,0.4051,930,16560,16560,265,5,0
Armstrong State University,Savannah,GA,31419-1997,1,0.7962,1054,5439,15900,5965,5,10461
Point University,West Point,GA,31833,2,0.3506,968,20600,20600,1126,5,0
Clark Atlanta University,Atlanta,GA,30314-4391,2,0.5793,1000,21892,21892,3302,5,0
Berry College,Mount Berry,GA,30149,2,0.616,1247,35176,35176,1963,5,0
Brenau University,Gainesville,GA,30501-3668,2,0.6613,1004,28510,28510,1722,5,0
Brewton-Parker College,Mount Vernon,GA,30445,2,0.9898,922,17740,17740,465,5,0
College of Coastal Georgia,Brunswick,GA,31520-3644,1,0.9469,937,4496,12918,3190,5,8422
Columbus State University,Columbus,GA,31907-5645,1,0.534,1011,6134,16920,6474,5,10786
Covenant College,Lookout Mountain,GA,30750-4164,2,0.9523,1269,33170,33170,986,5,0
Emmanuel College,Franklin Springs,GA,30639,2,0.4307,1022,19710,19710,800,5,0
Emory University,Atlanta,GA,30322,2,0.2204,1443,49392,49392,6776,5,0
Fort Valley State University,Fort Valley,GA,31030-4313,1,0.4366,564,6658,19738,2329,5,13080
Georgia Institute of Technology-Main Campus,Atlanta,GA,30332-0530,1,0.234,1389,12418,33014,14810,5,20596
Georgia Southwestern State University,Americus,GA,31709-4693,1,0.6747,1045,5341,15802,2348,5,10461
Georgia College & State University,Milledgeville,GA,31061,1,0.7899,1199,9346,28060,5857,5,18714
Georgia Southern University,Statesboro,GA,30460-8126,1,0.6829,1174,6356,17142,17062,5,10786
Georgia State University,Atlanta,GA,30303-3083,1,0.6985,1128,9112,23971,25031,5,14859
University of Georgia,Athens,GA,30602,1,0.5401,1316,11818,30392,28740,5,18574
Gordon State College,Barnesville,GA,30204,1,0.8364,924,3828,10010,3527,5,6182
LaGrange College,Lagrange,GA,30240-2999,2,0.5689,1100,29480,29480,930,5,0
Life University,Marietta,GA,30060,2,0.689,957,11715,11715,751,5,0
Mercer University,Macon,GA,31207,2,0.7326,1285,36000,36000,4708,5,0
Morehouse College,Atlanta,GA,30314,2,0.7441,1050,27278,27278,2199,5,0
Oglethorpe University,Atlanta,GA,30319-2797,2,0.5804,1212,36680,36680,1232,5,0
Paine College,Augusta,GA,30901-3182,2,0.318,850,14226,14226,357,5,0
Piedmont College,Demorest,GA,30535-0010,2,0.5952,1059,24464,24464,1281,5,0
Reinhardt University,Waleska,GA,30183-2981,2,0.8863,1038,22422,22422,1381,5,0
Savannah College of Art and Design,Savannah,GA,31402-3146,2,0.9287,1152,36410,36410,10568,5,0
Savannah State University,Savannah,GA,31404-5310,1,0.5575,933,5743,16204,4079,5,10461
Shorter University,Rome,GA,30165,2,0.5337,1017,21730,21730,1264,5,0
Spelman College,Atlanta,GA,30314-4399,2,0.4005,1163,28181,28181,2134,5,0
Toccoa Falls College,Toccoa Falls,GA,30598,2,0.5872,1039,22104,22104,851,5,0
Truett McConnell University,Cleveland,GA,30528,2,0.9462,1032,19480,19480,760,5,0
Valdosta State University,Valdosta,GA,31698,1,0.7417,1059,6410,17196,8557,5,10786
Wesleyan College,Macon,GA,31210-4462,2,0.466,1114,22370,22370,501,5,0
University of West Georgia,Carrollton,GA,30118-0001,1,0.5862,1016,6226,17010,10468,5,10784
Young Harris College,Young Harris,GA,30582,2,0.5251,1100,29062,29062,1021,5,0
Chaminade University of Honolulu,Honolulu,HI,96816-1578,2,0.9223,1068,24514,24514,1785,8,0
University of Hawaii at Hilo,Hilo,HI,96720-4091,1,0.7788,1047,7648,20608,2855,8,12960
University of Hawaii at Manoa,Honolulu,HI,96822-2217,1,0.8315,1154,11754,33786,12583,8,22032
Hawaii Pacific University,Honolulu,HI,96813,2,0.7468,1110,24550,24550,3228,8,0
University of Hawaii-West Oahu,Kapolei,HI,96707-4507,1,0.7875,966,7440,20400,2747,8,12960
Boise Bible College,Boise,ID,83714-1220,2,1,1091,12080,12080,128,7,0
Boise State University,Boise,ID,83725,1,0.8399,1093,7326,22642,16265,7,15316
University of Idaho,Moscow,ID,83844-2282,1,0.7309,1127,7488,23812,7685,7,16324
Lewis-Clark State College,Lewiston,ID,83501-2698,1,0.996,1013,6334,18410,2941,7,12076
Northwest Nazarene University,Nampa,ID,83686-5897,2,0.7342,1142,29000,29000,1268,7,0
Brigham Young University-Idaho,Rexburg,ID,83460-1690,2,0.9479,1115,4018,4018,35038,7,0
School of the Art Institute of Chicago,Chicago,IL,60603,2,0.6982,1242,49610,49610,2889,3,0
Aurora University,Aurora,IL,60506-4892,2,0.8732,1062,23520,23520,3912,3,0
Blackburn College,Carlinville,IL,62626,2,0.5953,1041,21992,21992,554,3,0
Bradley University,Peoria,IL,61625-0001,2,0.7137,1212,32930,32930,4643,3,0
Chicago State University,Chicago,IL,60628-1598,1,0.7787,952,10252,17212,2025,3,6960
University of Chicago,Chicago,IL,60637,2,0.0873,1524,56034,56034,6298,3,0
Concordia University-Chicago,River Forest,IL,60305-1499,2,0.7472,1100,31588,31588,1405,3,0
East-West University,Chicago,IL,60605,2,0.4069,910,21450,21450,430,3,0
Eastern Illinois University,Charleston,IL,61920,1,0.5151,1045,11678,13868,4877,3,2190
Elmhurst College,Elmhurst,IL,60126-3096,2,0.7053,1141,36370,36370,2782,3,0
Eureka College,Eureka,IL,61530,2,0.62,1084,25390,25390,605,3,0
Governors State University,University Park,IL,60484,1,0.6556,968,11746,21136,3288,3,9390
Greenville University,Greenville,IL,62246,2,0.662,1067,26356,26356,944,3,0
Hebrew Theological College,Skokie,IL,60077,2,0.95,1064,17630,17630,100,3,0
University of Illinois at Chicago,Chicago,IL,60607,1,0.7708,1150,13704,26560,19106,3,12856
Benedictine University,Lisle,IL,60532-0900,2,0.6217,1093,33900,33900,2864,3,0
University of Illinois at Urbana-Champaign,Champaign,IL,61820-5711,1,0.6153,1376,15074,31194,32884,3,16120
Illinois Wesleyan University,Bloomington,IL,61702-2900,2,0.6086,1273,45856,45856,1642,3,0
Illinois Institute of Technology,Chicago,IL,60616,2,0.5403,1323,45864,45864,2763,3,0
Illinois State University,Normal,IL,61790-1000,1,0.8913,1165,14061,25168,18264,3,11107
Judson University,Elgin,IL,60123-1498,2,0.712,1084,29434,29434,1037,3,0
Lewis University,Romeoville,IL,60446-2200,2,0.5383,1161,31250,31250,4372,3,0
Lincoln Christian University,Lincoln,IL,62656-2111,2,0.6213,1036,13020,13020,440,3,0
Lincoln College,Lincoln,IL,62656,2,0.5722,886,18100,18100,1043,3,0
Loyola University Chicago,Chicago,IL,60660,2,0.7059,1258,43078,43078,11193,3,0
MacMurray College,Jacksonville,IL,62650-2590,2,0.5971,1032,26100,26100,521,3,0
McKendree University,Lebanon,IL,62254-1291,2,0.617,1100,29640,29640,2065,3,0
Methodist College,Peoria,IL,61615,2,0.3469,1005,20750,20750,675,3,0
Millikin University,Decatur,IL,62522-2084,2,0.6459,1127,33066,33066,1883,3,0
Monmouth College,Monmouth,IL,61462-1998,2,0.6705,1115,36400,36400,1010,3,0
North Central College,Naperville,IL,60540,2,0.544,1200,37749,37749,2688,3,0
North Park University,Chicago,IL,60625-4895,2,0.5373,1086,28620,28620,2018,3,0
Northern Illinois University,Dekalb,IL,60115-2828,1,0.5332,1085,14350,23816,13430,3,9466
Northwestern University,Evanston,IL,60208,2,0.0924,1500,52678,52678,8489,3,0
Northeastern Illinois University,Chicago,IL,60625-4699,1,0.6939,910,10736,19792,7014,3,9056
Olivet Nazarene University,Bourbonnais,IL,60914-2271,2,0.6617,1140,34940,34940,3356,3,0
Principia College,Elsah,IL,62028-9799,2,0.9104,1162,28920,28920,447,3,0
Quincy University,Quincy,IL,62301-2699,2,0.6732,1082,27770,27770,898,3,0
Rockford University,Rockford,IL,61108-2311,2,0.4656,1059,30050,30050,1018,3,0
Roosevelt University,Chicago,IL,60605-1394,2,0.6951,1119,28963,28963,2485,3,0
Dominican University,River Forest,IL,60305,2,0.6498,1124,32530,32530,2155,3,0
University of St Francis,Joliet,IL,60435-6188,2,0.5167,1126,31470,31470,1563,3,0
Saint Xavier University,Chicago,IL,60655,2,0.746,1066,33380,33380,2927,3,0
University of Illinois at Springfield,Springfield,IL,62703-5407,1,0.5241,1159,11413,20938,2833,3,9525
Southern Illinois University-Carbondale,Carbondale,IL,62901-4512,1,0.7601,1143,13932,28107,10896,3,14175
Southern Illinois University-Edwardsville,Edwardsville,IL,62026-1259,1,0.8951,1144,11493,24651,11339,3,13158
Trinity Christian College,Palos Heights,IL,60463-0929,2,0.829,1125,28675,28675,1028,3,0
Trinity International University-Illinois,Deerfield,IL,60015-1283,2,0.75,1129,30750,30750,750,3,0
VanderCook College of Music,Chicago,IL,60616-3731,2,1,1215,28434,28434,90,3,0
Western Illinois University,Macomb,IL,61455,1,0.5997,1045,12897,12897,7599,3,0
Wheaton College,Wheaton,IL,60187-5593,2,0.85,1356,35190,35190,2356,3,0
Anderson University,Anderson,IN,46012-3495,2,0.6525,1045,29710,29710,1506,3,0
Ball State University,Muncie,IN,47306,1,0.6208,1138,9774,25942,16277,3,16168
Bethel College-Indiana,Mishawaka,IN,46545-5591,2,0.8977,1077,28030,28030,1254,3,0
Butler University,Indianapolis,IN,46208,2,0.6513,1279,39860,39860,4197,3,0
DePauw University,Greencastle,IN,46135-1772,2,0.6725,1248,47838,47838,2137,3,0
Earlham College,Richmond,IN,47374-4095,2,0.5184,1303,45750,45750,1027,3,0
University of Evansville,Evansville,IN,47722,2,0.6996,1187,35394,35394,2049,3,0
Franklin College,Franklin,IN,46131-2623,2,0.7787,1105,30920,30920,978,3,0
Goshen College,Goshen,IN,46526-4794,2,0.6388,1121,33200,33200,855,3,0
Grace College and Theological Seminary,Winona Lake,IN,46590-1274,2,0.8209,1130,23170,23170,1447,3,0
Hanover College,Hanover,IN,47243,2,0.8379,1184,36520,36520,1082,3,0
Holy Cross College,Notre Dame,IN,46556-0308,2,0.7405,1214,29734,29734,554,3,0
Huntington University,Huntington,IN,46750,2,0.8053,1080,25540,25540,949,3,0
Purdue University Fort Wayne,Fort Wayne,IN,46805-1499,1,0.9441,1074,8330,20005,7708,3,11675
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,46202-5143,1,0.7965,1104,9334,29806,20870,3,20472
University of Indianapolis,Indianapolis,IN,46227-3697,2,0.8218,1093,28390,28390,4384,3,0
Indiana Institute of Technology,Fort Wayne,IN,46803-1228,2,0.7613,1034,26370,26370,6899,3,0
University of Southern Indiana,Evansville,IN,47712,1,0.936,1084,7970,18626,7554,3,10656
Indiana State University,Terre Haute,IN,47809,1,0.8451,1013,8916,19452,10817,3,10536
Indiana University-Kokomo,Kokomo,IN,46902-9003,1,0.7028,1030,7207,19038,2746,3,11831
Indiana University-South Bend,South Bend,IN,46615-7111,1,0.7771,1035,7207,19038,4790,3,11831
Indiana University-Bloomington,Bloomington,IN,47405-7000,1,0.7601,1285,10533,34845,33104,3,24312
Indiana University-Northwest,Gary,IN,46408-1197,1,0.7444,998,7207,19038,3549,3,11831
Indiana University-Southeast,New Albany,IN,47150,1,0.8275,1021,7207,19038,4722,3,11831
Indiana University-East,Richmond,IN,47374-1289,1,0.6966,1035,7207,19038,2969,3,11831
Marian University,Indianapolis,IN,46222-1997,2,0.5872,1102,33000,33000,2173,3,0
Indiana Wesleyan University-Marion,Marion,IN,46953-4974,2,0.7202,1138,25980,25980,2685,3,0
